pod,second,t_remaining,count
toolbox-0-sub-managed-1,0,59,10
toolbox-0-sub-managed-1,1,58,10
toolbox-0-sub-managed-1,2,57,10
toolbox-0-sub-managed-1,3,56,10
toolbox-0-sub-managed-1,4,55,10
toolbox-0-sub-managed-1,5,54,10
toolbox-0-sub-managed-1,6,53,10
toolbox-0-sub-managed-1,7,52,10
toolbox-0-sub-managed-1,8,51,10
toolbox-0-sub-managed-1,9,50,10
toolbox-0-sub-managed-1,10,49,0
toolbox-0-sub-managed-1,11,48,0
toolbox-0-sub-managed-1,12,47,0
toolbox-0-sub-managed-1,13,46,0
toolbox-0-sub-managed-1,14,45,0
toolbox-0-sub-managed-1,15,44,0
toolbox-0-sub-managed-1,16,43,0
toolbox-0-sub-managed-1,17,42,0
toolbox-0-sub-managed-1,18,41,0
toolbox-0-sub-managed-1,19,40,0
toolbox-0-sub-managed-1,20,39,0
toolbox-0-sub-managed-1,21,38,0
toolbox-0-sub-managed-1,22,37,0
toolbox-0-sub-managed-1,23,36,0
toolbox-0-sub-managed-1,24,35,0
toolbox-0-sub-managed-1,25,34,40
toolbox-0-sub-managed-1,26,33,40
toolbox-0-sub-managed-1,27,32,40
toolbox-0-sub-managed-1,28,31,40
toolbox-0-sub-managed-1,29,30,40
toolbox-0-sub-managed-1,30,29,40
toolbox-0-sub-managed-1,31,28,40
toolbox-0-sub-managed-1,32,27,40
toolbox-0-sub-managed-1,33,26,169
toolbox-0-sub-managed-1,34,25,27
toolbox-0-sub-managed-1,35,24,0
toolbox-0-sub-managed-1,36,23,0
toolbox-0-sub-managed-1,37,22,0
toolbox-0-sub-managed-1,38,21,4
toolbox-0-sub-managed-1,39,20,0
toolbox-0-sub-managed-1,40,19,2
toolbox-0-sub-managed-1,41,18,0
toolbox-0-sub-managed-1,42,17,2
toolbox-0-sub-managed-1,43,16,2
toolbox-0-sub-managed-1,44,15,2
toolbox-0-sub-managed-1,45,14,0
toolbox-0-sub-managed-1,46,13,0
toolbox-0-sub-managed-1,47,12,40
toolbox-0-sub-managed-1,48,11,44
toolbox-0-sub-managed-1,49,10,40
toolbox-0-sub-managed-1,50,9,40
toolbox-0-sub-managed-1,51,8,38
toolbox-0-sub-managed-1,52,7,39
toolbox-0-sub-managed-1,53,6,39
toolbox-0-sub-managed-1,54,5,14
toolbox-0-sub-managed-1,55,4,0
toolbox-0-sub-managed-1,56,3,0
toolbox-0-sub-managed-1,57,2,0
toolbox-0-sub-managed-1,58,1,0
toolbox-0-sub-managed-1,59,0,0
